Does your family have a student eligible for bus service in 2022-2023?,Do you plan on using bus service in 2022-2023?,"As of April 2022, which of these best describes your student/s bus service ? (Select all that apply)","If bus service was not available in 2022-2023, would your student/s need assistance finding alternate transportation options?","Taking the current level of bus service into consideration, which of these two options do you prefer for your student/s and family in 2022-2023?","If the 3-tier plan is adopted, would you have students in your household who are split between the 7:30 and 9:30 tier?",Do you anticipate any challenges finding child care or managing your work schedule if the 3-tier plan is adopted?,How far away from school do the student/s in your family live? Select all that apply.,schools
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,Salmon Bay
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Lincoln,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Fairmount Park
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,Thorton Creek
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Salmon Bay
Yes,No,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Greater than 5 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Graham Hill
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Daniel Bagley
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Bryant
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 1 to 3 miles",Ballard
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Hamilton,West Woodland"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Gatewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Fairmount Park
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles",John Hay
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Alki
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Adams,Salmon Bay"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Hamilton,McDonald"
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Greater than 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Olympic View
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,McDonald
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"1 to 3 miles, Greater than 5 miles","McDonald,North Beach"
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,"Less than 1 mile, 3 to 5 miles","Cascadia,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,John Hay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Broadview-Thomson
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
Yes,No,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"3 to 5 miles, Greater than 5 miles",McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,McDonald
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,McDonald
Yes,No,"Bus route is running, but prefer other transportation options., Bus route is NOT running. Would not use it even if it were.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Greater than 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,1 to 3 miles,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,No,1 to 3 miles,"Hamilton,McDonald"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Kimball
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,McDonald
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,McDonald
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,3 to 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Hamilton,Lincoln,McDonald"
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,Thurgood Marshall
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,John Stanford
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,John Stanford
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Rainier View
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Greater than 5 miles,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,Yes,1 to 3 miles,"Ingraham,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,"Cascade PP,View Ridge"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,3 to 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,McDonald
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,Cascadia
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,Yes,Less than 1 mile,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,"Bus route consistently on-time, Bus route consistently late",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"1 to 3 miles, 3 to 5 miles","Loyal Heights,Robert Eagle Staff"
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Bailey Gatzert
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,John Stanford
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"John Stanford,Lincoln"
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,B.F. Day
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 1 to 3 miles","Hamilton,McDonald"
Yes,Yes,Bus route consistently on-time,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,No,"Less than 1 mile, 3 to 5 miles","Gatewood,Madison"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,No,3 to 5 miles,Pathfinder
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,John Stanford
Yes,Yes,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,John Stanford
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Licton Springs
Yes,No,"Bus route consistently on-time, Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Daniel Bagley
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Olympic Hills
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Hazel Wolf
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,McDonald
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,John Stanford
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,West Woodland
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Hamilton,McDonald"
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,"B.F. Day,West Woodland"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Magnolia
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Adams
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"1 to 3 miles, 3 to 5 miles",UGH
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Magnolia
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, Greater than 5 miles","Catharine Blaine,Hamilton,Lincoln"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,Yes,Yes,1 to 3 miles,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Chief Sealth
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hamilton,John Stanford"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Whittier
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Rainier View,Rising Star"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Coe
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hamilton,Lincoln,McDonald"
Yes,Yes,"Bus route consistently late, Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greenwood
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,Thurgood Marshall
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,"Bus route is running, but prefer other transportation options.",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Hamilton,John Stanford"
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,
Yes,Yes,Bus route consistently late,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,Pathfinder
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Whittier
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Pathfinder
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","John Rogers,Robert Eagle Staff"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,McDonald
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Greater than 5 miles,Center School
Yes,No,Bus route consistently late,No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Madison
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Adams,Ballard"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Ingraham,McDonald"
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,3 to 5 miles,McDonald
Yes,No,Bus route is NOT running. Would not use it even if it were.,Yes,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Lafayette
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Greater than 5 miles,McDonald
Yes,Yes,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Louisa Boren K8
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Ballard,Hamilton,Whittier"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,"Cascadia,Greenwood"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Gatewood
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,Less than 1 mile,Magnolia
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Loyal Heights
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,"Hamilton,McDonald"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Fairmount Park
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Thorton Creek
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Salmon Bay
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,Thurgood Marshall
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Kimball
Yes,No,"Bus route is running, but prefer other transportation options.",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Thurgood Marshall
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Louisa Boren K8
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Concord
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Olympic View
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,"Thurgood Marshall,Washington"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Pathfinder
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,1 to 3 miles,Madison
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"John Hay,Lincoln,McClure"
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,"Madison,UGH"
Yes,Yes,Bus route consistently on-time,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,Pathfinder
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,3 to 5 miles,"Pathfinder,West Seattle High School"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Arbor Heights
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,"Less than 1 mile, 1 to 3 miles","Lincoln,McDonald"
Yes,No,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Bryant
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Catharine Blaine
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,3 to 5 miles,Pathfinder
Yes,No,Bus route is NOT running. Would not use it even if it were.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Salmon Bay
Yes,No,Bus route is NOT running. Forced to use other transportation options.,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Pathfinder
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,Magnolia
Yes,Yes,"Not assigned a bus route in 2022 (eg, newly enrolled family).",No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,North Beach
Yes,Yes,"Bus route consistently on-time, Bus route consistently late",Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,1 to 3 miles,"Aki Kurose,Rainier Beach,Rainier View"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route is NOT running. Forced to use other transportation options.,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,"Less than 1 mile, 3 to 5 miles","B.F. Day,Whittier"
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
Yes,Yes,Bus route consistently late,No,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,3 to 5 miles,Pathfinder
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,Yes,Less than 1 mile,Greek Lake
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,No,Less than 1 mile,Thurgood Marshall
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,Yes,Yes,1 to 3 miles,Pathfinder
Yes,Yes,Bus route consistently on-time,Yes,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,1 to 3 miles,McDonald
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Adams
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,Thurgood Marshall
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,North Beach
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,West Woodland
No,,,,Change to the 3-tier bell times with an improved level of bus service in 2022-2023,No,No,Less than 1 mile,Olympic Hills
No,,,,Keep the current 2-tier bell times with a similar level of bus service as April 2022,No,Yes,Less than 1 mile,McDonald
